Model,XGBoost,MLP,GaussianNB,Adaboost,KNN,RFClassifier,SVM_linear,SVM_sigmoid,SVM_RBF,Average
vit_base_patch16_224,0.9483,0.9917,0.865,0.9817,0.9867,0.98,0.9917,0.9383,0.99,0.9637
vit_base_patch32_224,0.9517,0.995,0.8767,0.9883,0.9883,0.9783,0.9917,0.9633,0.995,0.9698
vit_large_patch16_224,0.96,0.995,0.8683,0.9933,0.985,0.9833,0.9967,0.9833,0.9967,0.9735
vit_small_patch32_224,0.93,0.9867,0.8917,0.9833,0.9933,0.9683,0.9717,0.9367,0.995,0.9619
deit3_small_patch16_224,0.8717,0.9867,0.7983,0.96,0.97,0.9517,0.955,0.855,0.99,0.9265
vit_base_patch8_224,0.94,0.995,0.855,0.9833,0.985,0.9733,0.995,0.8817,0.9933,0.9557
vit_tiny_patch16_224,0.91,0.9867,0.865,0.9767,0.985,0.9717,0.9533,0.895,0.9867,0.9478
vit_small_patch16_224,0.94,0.9917,0.8583,0.9917,0.985,0.98,0.975,0.9383,0.9933,0.9615
vit_base_patch16_384,0.94,0.9883,0.895,0.9867,0.9867,0.9783,0.985,0.9633,0.985,0.9676
vit_tiny_patch16_384,0.9167,0.9917,0.8083,0.98,0.9883,0.9833,0.9733,0.8983,0.9933,0.9481
vit_small_patch32_384,0.9433,0.99,0.9067,0.9883,0.99,0.9867,0.975,0.9483,0.9967,0.9694
vit_small_patch16_384,0.9367,0.9883,0.8333,0.9817,0.99,0.99,0.975,0.945,0.9917,0.9591
vit_base_patch32_384,0.9517,0.9933,0.8833,0.9917,0.985,0.9883,0.99,0.965,0.995,0.9715
Average,0.9338,0.9908,0.8619,0.9836,0.986,0.9779,0.9791,0.9317,0.9924,
